id;position_id/id;tax_src_id/id;tax_dest_id/id
l10n_dz.fp_tax_ve_template_exo_normale;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_normale;l10n_dz.tva_0
l10n_dz.fp_tax_ve_template_exo_normale19;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_normale19;l10n_dz.tva_0
l10n_dz.fp_tax_ve_template_exo_specifique;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_specifique;l10n_dz.tva_0
l10n_dz.fp_tax_ve_template_exo_specifique9;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_specifique9;l10n_dz.tva_0
l10n_dz.fp_tax_ac_template_exo_normale;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_acq_normale;l10n_dz.tva_exo_0
l10n_dz.fp_tax_ac_template_exo_normale19;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_acq_normale19;l10n_dz.tva_exo_0
l10n_dz.fp_tax_ac_template_exo_specifique;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_acq_specifique;l10n_dz.tva_exo_0
l10n_dz.fp_tax_ac_template_exo_specifique9;l10n_dz.fiscal_position_template_exo;l10n_dz.tva_acq_specifique9;l10n_dz.tva_exo_0
l10n_dz.fp_tax_template_exo_normale;l10n_dz.fiscal_position_template_import_export;l10n_dz.tva_acq_normale;l10n_dz.tva_import_0
l10n_dz.fp_tax_template_exo_normale19;l10n_dz.fiscal_position_template_import_export;l10n_dz.tva_acq_normale19;l10n_dz.tva_import_0
l10n_dz.fp_tax_template_exo_specifique;l10n_dz.fiscal_position_template_import_export;l10n_dz.tva_acq_specifique;l10n_dz.tva_import_0
l10n_dz.fp_tax_template_exo_specifique9;l10n_dz.fiscal_position_template_import_export;l10n_dz.tva_acq_specifique9;l10n_dz.tva_import_0
